Name,Span,Description,Rating,rating_category
Batman: The Animated Series,(1992–1995),The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,9.0,high
Samurai Jack,(2001–2017),"A samurai, sent through time, fights to return home and save the world.",8.5,high
Avatar: The Last Airbender,(2005–2008),"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",9.3,high
Total Drama Island,(2007–2014),Animated satire of survivor reality shows featuring random teenage archetypes vying for the final prize by any means necessary.,7.4,average
Scooby-Doo! Mystery Incorporated,(2010–2013),"This incarnation finds Scooby and the gang living in Crystal Cove, a small town with a long history of ghost sightings, monster tales and other mysteries ripe for the sleuths to solve once and for all.",8.1,high
Justice League,(2001–2004),Seven of the most formidable heroes form arguably the most powerful team ever.,8.6,high
The Avengers: Earth's Mightiest Heroes,(2010–2012),"After 74 villains break out of prison, Marvel's most powerful superheroes team up to capture all of them, and also to defend the Earth from widespread threats.",8.3,high
Batman Beyond,(1999–2001),"Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham.",8.1,high
Teenage Mutant Ninja Turtles,(2012–2017),"Four ninja turtles, mutated by a mysterious alien substance, must rise up out of the sewers and defend New York City against evil forces from both the past and present.",7.9,average
Teen Titans,(2003–2006),A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today.,7.9,average
Ben 10,(2005–2008),"The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species.",7.5,average
Generator Rex,(2010–2013),"In a future where humans are infected by untested, microscopic robots, a young man with the ability to control the bots helps a government agency control the tech's vicious creations.",7.6,average
Trollhunters,(2016–2018),"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",8.4,high
Gargoyles,(1994–1997),A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.,8.0,average
"Roswell Conspiracies: Aliens, Myths & Legends",(1997–1999),"Welcome to a tangled web of secrets and deception...The story of allied intelligence agents who've discovered extraterrestrial beings on Earth, thriving here for centuries through the ...                See full summary »",7.5,average
The Legend of Korra,(2012–2014),Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,8.3,high
Voltron: Legendary Defender,(2016–2018),Five teenagers become the last line of defense for the galaxy in an intergalactic battle against the evil alien force led by King Zarkon.,8.1,high
The Spectacular Spider-Man,(2008–2009),"An animated television show that focuses on a sixteen-year-old Peter Parker, and the origins of Spider-Man.",8.4,high
Megas XLR,(2004–2005),Two teenage slackers find a mecha from the future that had been lying in a New Jersey junkyard for nearly 60 years and make modifications much to the dismay of the robot's attractive creator.,8.2,high
Sym-Bionic Titan,(2010–2011),"Three young alien beings with the ability to form a giant robotic warrior attempt to blend into suburbia, all while battling the tyrannical forces that ravaged their home world.",8.1,high
Gravity Falls,(2012–2016),"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",8.9,high
Star Wars: The Clone Wars,(2008–2020),Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,8.4,high
Star Wars Rebels,(2014–2018),A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,8.1,high
Kim Possible,(2002–2007),A high school cheerleader and her clumsy best friend balance their duties as global crime-fighters with the typical challenges of adolescence.,7.2,average
Codename: Kids Next Door,(2002–2008),The adventures of a group of ten-year-old friends who fight for the right to do everything that adults restrict from them.,7.2,average
Danny Phantom,(2003–2007),A 14-year-old receives ghost powers and uses them to save the world.,7.2,average
The Dragon Prince,(2018– ),"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.",8.3,high
Futurama,(1999– ),"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",8.5,high
Tangled: The Series,(2017–2020),"Set between Walt Disney Animation Studios' ""Tangled"" and its short film ""Tangled Ever After,"" this animated adventure/comedy series unfolds as Rapunzel acquaints herself with her parents, her kingdom and the people of Corona.",7.7,average
3Below: Tales of Arcadia,(2018–2019),A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,7.6,average
Castlevania,(2017–2021),A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,8.3,high
Final Space,(2018–2021),An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.,8.2,high
Tron: Uprising,(2012–2013),"In the computer world of the Grid, a young program joins Tron's fight against their world's tyranny.",8.2,high
Thundercats,(2011–2012),"After his home kingdom is destroyed by the ancient devil priest Mumm-Ra, the young Thundercat Lord Lion-O leads a team of survivors as they fight evil on Third Earth.",7.8,average
The Boondocks,(2005–2014),Brothers Huey and Riley Freeman experience a culture clash when they leave Chicago to move in with their grandfather in the suburbs.,8.5,high
6Teen,(2004–2010),"Set in a giant shopping mall, this show follows the after-school lives of six 16-year-olds.",7.5,average
Wizards,(2020),The third installment of DreamWork's 'Tales of Arcadia' trilogy. The gang ends up in the past and must make sure that everything happens the way it should.,8.0,average
Primal,(2019– ),A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,8.7,high
The Legend of Vox Machina,(2022– ),"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave.",8.4,high
Invincible,(2021– ),An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,8.7,high
Blood of Zeus,(2020– ),"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army.",7.5,average
Arcane: League of Legends,(2021– ),"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.",9.0,high
Star Wars: Clone Wars,(2003–2005),The events and battles of the Galactic Republic's last major war are recounted.,7.8,average
SWAT Kats: The Radical Squadron,(1993–1995),"In a world of anthropomorphic felines, two demoted fighter pilots battle evil as high flying masked vigilantes.",8.4,high
"Scooby Doo, Where Are You!",(1969–1978),"A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function.",7.9,average
Detentionaire,(2011–2014),"When 10th-grader Lee Ping sneaks out of detention to find out who framed him for a major prank, he slowly uncovers a massive conspiracy that encompasses his entire school and will determine the fate of the human race.",8.0,average
Rick and Morty,(2013– ),The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,9.1,high
